label,left_hip_y,right_hip_y
C,0.3004484176635742,0.2642901837825775
C,0.3056867718696594,0.2632541358470917
C,0.3094539642333984,0.2681105732917785
C,0.3135446310043335,0.2688982188701629
C,0.3157192468643188,0.2695717811584472
C,0.3156144320964813,0.2701104283332824
C,0.3142825365066528,0.2699897289276123
C,0.3141975402832031,0.26976078748703
C,0.3110357820987701,0.2696463167667389
C,0.3104467391967773,0.2693499326705932
C,0.3073669075965881,0.2697908580303192
C,0.3137113749980926,0.2708134353160858
C,0.3196437358856201,0.2722520232200622
C,0.3230088949203491,0.2754507064819336
C,0.3242359459400177,0.275009423494339
C,0.3246708214282989,0.2747125029563904
C,0.3256459534168243,0.2735441625118255
C,0.326002687215805,0.2718409895896911
C,0.3269115090370178,0.2707050144672394
C,0.3243349194526672,0.2707290649414062
C,0.3239795863628387,0.2710869610309601
C,0.3226972818374634,0.2714726328849792
C,0.3205381035804748,0.2702204287052154
C,0.3201907873153686,0.2704713344573974
C,0.3222188949584961,0.2704959511756897
C,0.3247189223766327,0.2721390724182129
C,0.329516053199768,0.2742263972759247
C,0.3293943405151367,0.2747569680213928
C,0.3299631774425506,0.2744925022125244
C,0.328424721956253,0.2745837569236755
C,0.3275327086448669,0.2752790749073028
C,0.3226810395717621,0.2755718827247619
C,0.3200941085815429,0.2720172107219696
C,0.3137868344783783,0.2644514143466949
H,0.1213925331830978,0.1382555961608886
H,0.1207494884729385,0.1378721892833709
H,0.1218217015266418,0.1374306380748748
H,0.122160293161869,0.1371930539608001
H,0.1221518516540527,0.1370904743671417
H,0.1279753148555755,0.1357366889715194
H,0.1296588331460952,0.1354721337556839
H,0.1289341151714325,0.1352603584527969
H,0.1287520974874496,0.1355504840612411
H,0.1284181028604507,0.1371037811040878
H,0.1283083260059356,0.1374876350164413
H,0.1296081691980362,0.1374003440141677
H,0.1297679096460342,0.1393637508153915
H,0.1298551708459854,0.1399116963148117
H,0.1297369301319122,0.1412842124700546
H,0.1305879950523376,0.141292318701744
H,0.1324438005685806,0.1442186087369918
H,0.1326658874750137,0.144682377576828
H,0.1320194453001022,0.1449628919363021
H,0.1300847232341766,0.1447334140539169
H,0.129356250166893,0.1443021148443222
H,0.1292518973350525,0.1444247663021087
H,0.1298338025808334,0.1459803879261016
H,0.1327660828828811,0.1477491706609726
H,0.1371618956327438,0.1529276967048645
H,0.3139187395572662,0.2723288536071777
C,0.3297743499279022,0.2799655795097351
C,0.3297411501407623,0.2828641235828399
C,0.3288304507732391,0.2831263542175293
C,0.3283233940601349,0.283061683177948
C,0.3301462531089782,0.2832003831863403
C,0.3311266303062439,0.2845818698406219
C,0.3319757878780365,0.2853082418441772
C,0.3337642550468445,0.2860701084136963
C,0.3268789052963257,0.2847496569156647
C,0.3255283832550049,0.2831675112247467
C,0.3260054886341095,0.2815659642219543
C,0.324708491563797,0.278231531381607
C,0.314627081155777,0.2742469012737274
C,0.3095628619194031,0.2704273760318756
C,0.3094989657402038,0.2693657279014587
C,0.3016094863414764,0.2647524774074554
C,0.306521862745285,0.2633382380008697
C,0.310960590839386,0.2676232755184173
C,0.3157764971256256,0.2695204615592956
C,0.3143199682235718,0.2700697481632232
C,0.311675101518631,0.2697634994983673
C,0.3185866177082062,0.2717558443546295
C,0.3238924741744995,0.2746379673480987
C,0.3257138431072235,0.2720202803611755
C,0.3248726427555084,0.271016925573349
C,0.3195182085037231,0.269814521074295
C,0.3280452489852905,0.273925632238388
C,0.3278663754463196,0.2747982740402221
C,0.319052129983902,0.2755347490310669
C,0.3146190345287323,0.265329509973526
H,0.1321916580200195,0.1531269401311874
H,0.1241616159677505,0.1426194459199905
H,0.1223869398236274,0.1388925909996032
H,0.1202560290694236,0.1380517780780792
H,0.1218002364039421,0.1372753083705902
H,0.1292984336614608,0.1355475187301635
H,0.1284125447273254,0.1363294720649719
H,0.1291178464889526,0.1378938555717468
H,0.130089595913887,0.1396276205778122
H,0.1308493018150329,0.1413248181343078
H,0.1328096091747284,0.144510805606842
H,0.1308692246675491,0.1448060721158981
H,0.1290542632341385,0.1438940167427063
H,0.1325127929449081,0.1472286134958267
